OBJECTID,Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Severity,Crash_Time,Crash_Year,Day_of_Week,Hour_of_Day,Intersecting_Street_Name,Latitude,Longitude,Speed_Limit,Street_Name,Person_Death_Count,Person_Injury_Severity,Person_Type,KABCO_USD_Value
218,19105072,True,2022-09-09,N - NOT INJURED,1153,2022,FRIDAY,11 AM,N KANSAS ST,31.76207485,-106.4873903,30,E FRANKLIN AVE,0,N - NOT INJURED,Motorist,0
219,19105072,True,2022-09-09,N - NOT INJURED,1153,2022,FRIDAY,11 AM,N KANSAS ST,31.76207485,-106.4873903,30,E FRANKLIN AVE,0,N - NOT INJURED,Motorist,0
512,19138605,True,2022-09-21,N - NOT INJURED,1705,2022,WEDNESDAY,5 PM,N STANTON ST,31.76153485,-106.4882103,30,E FRANKLIN AVE,0,N - NOT INJURED,Motorist,0
513,19138605,True,2022-09-21,N - NOT INJURED,1705,2022,WEDNESDAY,5 PM,N STANTON ST,31.76153485,-106.4882103,30,E FRANKLIN AVE,0,N - NOT INJURED,Other,0
817,19173843,True,2022-10-06,N - NOT INJURED,1600,2022,THURSDAY,4 PM,W 4TH AVE,31.75314485,-106.4887003,30,S SANTA FE ST,0,99 - UNKNOWN,Motorist,0
818,19173843,True,2022-10-06,N - NOT INJURED,1600,2022,THURSDAY,4 PM,W 4TH AVE,31.75314485,-106.4887003,30,S SANTA FE ST,0,N - NOT INJURED,Other,0
847,19182568,True,2022-10-07,B - SUSPECTED MINOR INJURY,0,2022,FRIDAY,12 AM,S OREGON ST,31.75363485,-106.4865603,35,S OREGON ST,0,B - SUSPECTED MINOR INJURY,Motorist,303200
848,19182568,True,2022-10-07,B - SUSPECTED MINOR INJURY,0,2022,FRIDAY,12 AM,S OREGON ST,31.75363485,-106.4865603,35,S OREGON ST,0,N - NOT INJURED,Motorist,303200
849,19182568,True,2022-10-07,B - SUSPECTED MINOR INJURY,0,2022,FRIDAY,12 AM,S OREGON ST,31.75363485,-106.4865603,35,S OREGON ST,0,N - NOT INJURED,Motorist,303200
850,19182568,True,2022-10-07,B - SUSPECTED MINOR INJURY,0,2022,FRIDAY,12 AM,S OREGON ST,31.75363485,-106.4865603,35,S OREGON ST,0,N - NOT INJURED,Motorist,303200
851,19182568,True,2022-10-07,B - SUSPECTED MINOR INJURY,0,2022,FRIDAY,12 AM,S OREGON ST,31.75363485,-106.4865603,35,S OREGON ST,0,N - NOT INJURED,Motorist,303200
883,19173000,True,2022-10-12,N - NOT INJURED,1914,2022,WEDNESDAY,7 PM,E MILLS AVE,31.76119485,-106.4852203,35,N CAMPBELL ST,0,99 - UNKNOWN,Motorist,0
884,19173000,True,2022-10-12,N - NOT INJURED,1914,2022,WEDNESDAY,7 PM,E MILLS AVE,31.76119485,-106.4852203,35,N CAMPBELL ST,0,N - NOT INJURED,Pedestrian,0
1389,19215212,True,2022-11-03,C - POSSIBLE INJURY,719,2022,THURSDAY,7 AM,E MISSOURI AVE,31.76281485,-106.4880403,40,N KANSAS ST,0,N - NOT INJURED,Motorist,151600
1390,19215212,True,2022-11-03,C - POSSIBLE INJURY,719,2022,THURSDAY,7 AM,E MISSOURI AVE,31.76281485,-106.4880403,40,N KANSAS ST,0,N - NOT INJURED,Motorist,151600
1391,19215212,True,2022-11-03,C - POSSIBLE INJURY,719,2022,THURSDAY,7 AM,E MISSOURI AVE,31.76281485,-106.4880403,40,N KANSAS ST,0,C - POSSIBLE INJURY,Motorist,151600
1392,19215212,True,2022-11-03,C - POSSIBLE INJURY,719,2022,THURSDAY,7 AM,E MISSOURI AVE,31.76281485,-106.4880403,40,N KANSAS ST,0,N - NOT INJURED,Motorist,151600
1393,19215212,True,2022-11-03,C - POSSIBLE INJURY,719,2022,THURSDAY,7 AM,E MISSOURI AVE,31.76281485,-106.4880403,40,N KANSAS ST,0,N - NOT INJURED,Motorist,151600
1394,19215212,True,2022-11-03,C - POSSIBLE INJURY,719,2022,THURSDAY,7 AM,E MISSOURI AVE,31.76281485,-106.4880403,40,N KANSAS ST,0,N - NOT INJURED,Motorist,151600
1484,19219440,True,2022-11-08,N - NOT INJURED,720,2022,TUESDAY,7 AM,TEXAS AVE,31.75997485,-106.4854203,30,N KANSAS ST,0,N - NOT INJURED,Motorist,0
1485,19219440,True,2022-11-08,N - NOT INJURED,720,2022,TUESDAY,7 AM,TEXAS AVE,31.75997485,-106.4854203,30,N KANSAS ST,0,N - NOT INJURED,Motorist,0
1486,19219440,True,2022-11-08,N - NOT INJURED,720,2022,TUESDAY,7 AM,TEXAS AVE,31.75997485,-106.4854203,30,N KANSAS ST,0,N - NOT INJURED,Motorist,0
1514,19218576,True,2022-11-09,N - NOT INJURED,1315,2022,WEDNESDAY,1 PM,E OVERLAND AVE,31.75713485,-106.4876703,35,S OREGON ST,0,N - NOT INJURED,Motorist,0
1515,19218576,True,2022-11-09,N - NOT INJURED,1315,2022,WEDNESDAY,1 PM,E OVERLAND AVE,31.75713485,-106.4876703,35,S OREGON ST,0,N - NOT INJURED,Motorist,0
1516,19218576,True,2022-11-09,N - NOT INJURED,1315,2022,WEDNESDAY,1 PM,E OVERLAND AVE,31.75713485,-106.4876703,35,S OREGON ST,0,N - NOT INJURED,Motorist,0
1577,19227013,True,2022-11-11,B - SUSPECTED MINOR INJURY,1337,2022,FRIDAY,1 PM,N KANSAS ST,31.75997485,-106.4854203,40,TEXAS AVE,0,N - NOT INJURED,Motorist,303200
1578,19227013,True,2022-11-11,B - SUSPECTED MINOR INJURY,1337,2022,FRIDAY,1 PM,N KANSAS ST,31.75997485,-106.4854203,40,TEXAS AVE,0,N - NOT INJURED,Motorist,303200
1579,19227013,True,2022-11-11,B - SUSPECTED MINOR INJURY,1337,2022,FRIDAY,1 PM,N KANSAS ST,31.75997485,-106.4854203,40,TEXAS AVE,0,B - SUSPECTED MINOR INJURY,Motorist,303200
1628,19281334,True,2022-11-15,N - NOT INJURED,1150,2022,TUESDAY,11 AM,E OVERLAND AVE,31.75784485,-106.4845803,35,S KANSAS ST,0,N - NOT INJURED,Motorist,0
1629,19281334,True,2022-11-15,N - NOT INJURED,1150,2022,TUESDAY,11 AM,E OVERLAND AVE,31.75784485,-106.4845803,35,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
1691,19238663,True,2022-11-19,N - NOT INJURED,1232,2022,SATURDAY,12 PM,W FRANKLIN AVE,31.75937485,-106.4916203,30,N SANTA FE ST,0,N - NOT INJURED,Motorist,0
1799,19248352,True,2022-11-24,N - NOT INJURED,204,2022,THURSDAY,2 AM,TEXAS AVE,31.75997485,-106.4854203,30,N KANSAS ST,0,N - NOT INJURED,Motorist,0
1800,19248352,True,2022-11-24,N - NOT INJURED,204,2022,THURSDAY,2 AM,TEXAS AVE,31.75997485,-106.4854203,30,N KANSAS ST,0,N - NOT INJURED,Motorist,0
1820,19252257,True,2022-11-26,N - NOT INJURED,1757,2022,SATURDAY,5 PM,W SAN ANTONIO AVE,31.75720485,-106.4899903,30,N SANTA FE ST,0,N - NOT INJURED,Motorist,0
1821,19252257,True,2022-11-26,N - NOT INJURED,1757,2022,SATURDAY,5 PM,W SAN ANTONIO AVE,31.75720485,-106.4899903,30,N SANTA FE ST,0,N - NOT INJURED,Motorist,0
1822,19252257,True,2022-11-26,N - NOT INJURED,1757,2022,SATURDAY,5 PM,W SAN ANTONIO AVE,31.75720485,-106.4899903,30,N SANTA FE ST,0,N - NOT INJURED,Motorist,0
1823,19252257,True,2022-11-26,N - NOT INJURED,1757,2022,SATURDAY,5 PM,W SAN ANTONIO AVE,31.75720485,-106.4899903,30,N SANTA FE ST,0,N - NOT INJURED,Motorist,0
1824,19252257,True,2022-11-26,N - NOT INJURED,1757,2022,SATURDAY,5 PM,W SAN ANTONIO AVE,31.75720485,-106.4899903,30,N SANTA FE ST,0,N - NOT INJURED,Motorist,0
1915,19259071,True,2022-11-30,N - NOT INJURED,1540,2022,WEDNESDAY,3 PM,N KANSAS ST,31.76207485,-106.4873903,30,E FRANKLIN AVE,0,N - NOT INJURED,Motorist,0
