OBJECTID,Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Severity,Crash_Time,Crash_Year,Day_of_Week,Hour_of_Day,Intersecting_Street_Name,Latitude,Longitude,Speed_Limit,Street_Name,Person_Death_Count,Person_Injury_Severity,Person_Type,KABCO_USD_Value
8,19173000,True,2022-10-12,N - NOT INJURED,1914,2022,WEDNESDAY,7 PM,E MILLS AVE,31.76119485,-106.4852203,35,N CAMPBELL ST,0,N - NOT INJURED,Pedestrian,0
17,19281334,True,2022-11-15,N - NOT INJURED,1150,2022,TUESDAY,11 AM,E OVERLAND AVE,31.75784485,-106.4845803,35,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
26,19334999,True,2023-01-12,N - NOT INJURED,1900,2023,THURSDAY,7 PM,E SAN ANTONIO AVE,31.75875485,-106.4848103,35,S KANSAS ST,0,N - NOT INJURED,Cyclist,0
28,19348537,True,2023-01-20,N - NOT INJURED,1110,2023,FRIDAY,11 AM,S OREGON ST,31.75363485,-106.4865603,30,E 4TH AVE,0,N - NOT INJURED,Pedestrian,0
29,19370971,True,2023-02-03,C - POSSIBLE INJURY,1809,2023,FRIDAY,6 PM,TEXAS AVE,31.75997485,-106.4854203,30,N KANSAS ST,0,C - POSSIBLE INJURY,Pedestrian,151600
45,19605468,True,2023-06-15,A - SUSPECTED SERIOUS INJURY,932,2023,THURSDAY,9 AM,TEXAS AVE,31.75936485,-106.4863403,30,STANTON ST,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
48,19635376,True,2023-06-28,C - POSSIBLE INJURY,1636,2023,WEDNESDAY,4 PM,E OVERLAND AVE,31.75809485,-106.4835703,30,S CAMPBELL ST,0,C - POSSIBLE INJURY,Cyclist,151600
70,19764874,True,2023-09-12,B - SUSPECTED MINOR INJURY,510,2023,TUESDAY,5 AM,N OREGON ST,31.76111485,-106.4905203,30,E MISSOURI AVE,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
88,19898767,True,2023-12-01,A - SUSPECTED SERIOUS INJURY,803,2023,FRIDAY,8 AM,E FRANKLIN AVE,31.76207485,-106.4873903,35,N KANSAS ST,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
126,20254912,True,2024-06-24,B - SUSPECTED MINOR INJURY,655,2024,MONDAY,6 AM,S CAMPBELL ST,31.75899485,-106.4837603,35,E SAN ANTONIO AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
136,19920190,True,2023-12-06,B - SUSPECTED MINOR INJURY,1710,2023,WEDNESDAY,5 PM,E MILLS SVE,31.76119485,-106.4852203,35,N CAMPBELL ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
149,20463997,True,2024-10-22,B - SUSPECTED MINOR INJURY,1002,2024,TUESDAY,10 AM,S KANSAS ST,31.75784485,-106.4845803,30,E OVERLAND AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
175,20654232,True,2025-02-13,N - NOT INJURED,1257,2025,THURSDAY,12 PM,TEXAS AVE,31.76048485,-106.4846203,30,N CAMPBELL ST,0,N - NOT INJURED,Cyclist,0
178,20717214,True,2025-03-18,C - POSSIBLE INJURY,804,2025,TUESDAY,8 AM,N CAMPBELL ST,31.76048485,-106.4846203,30,TEXAS AVE,0,C - POSSIBLE INJURY,Pedestrian,151600
185,20762299,True,2025-04-16,C - POSSIBLE INJURY,750,2025,WEDNESDAY,7 AM,E SAN ANTONIO AVE,31.75899485,-106.4837603,30,S CAMPBELL ST,0,C - POSSIBLE INJURY,Pedestrian,151600
222,21010500,True,2025-09-12,B - SUSPECTED MINOR INJURY,1214,2025,FRIDAY,12 PM,N KANSAS ST,31.76207485,-106.4873903,30,E FRANKLIN AVE,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
235,21054028,True,2025-10-07,B - SUSPECTED MINOR INJURY,758,2025,TUESDAY,7 AM,TEXAS AVE,31.75936485,-106.4863403,30,STANTON ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
250,21154288,True,2025-11-25,C - POSSIBLE INJURY,1723,2025,TUESDAY,5 PM,E 4TH AVE,31.75363485,-106.4865603,35,S OREGON ST,0,C - POSSIBLE INJURY,Pedestrian,151600
257,21190260,True,2025-12-20,C - POSSIBLE INJURY,2005,2025,SATURDAY,8 PM,W SAN ANTONIO AVE,31.75720485,-106.4899903,30,N SANTA FE ST,0,C - POSSIBLE INJURY,Pedestrian,151600
